FileName,Next 1990,2012 Songbook,2017 Songbook,Tags,Quality,VC Choice,Notes,,,,,
Ilkley_Moor_(Oxford_Glee_2024-10).mp3,,N,Y,,Fine,Y,"From Emily, whatsapp",,,,,
Indonga_Seh_Jericho_(Parts).mp3,,N,N,Parts,Good,Y,Alt songs,,,,,
Irene_Goodnight_(Postcamps_2024-09).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Irene_Goodnight_(In_The_Crypt).mp3,,N,N,,Good,Y,,,,,,
It_Ain't_Me_You're_Looking_For_(Horton_Rd_Vol_2).mp3,,N,N,Pop / Duet / With Guitar,Fine,N,,,,,,
Jamaican_Farewell_(01).mp3,,N,Y,,Good,Y,Weird noises at beginning,,,,,
Jamaican_Farewell_(02).mp3,,N,Y,,Bin,N,,,,,,
Jean_Harlow.mp3,Y,N,Y,,Fine,Y,,,,,,
Jesus_Was_A_Gay_Black_Hippie_Jew_(Solo).mp3,,N,N,Solo,Bin,N,Not woke,,,,,
Jinganga_(Parts).mp3,,N,N,Foreign Language,Fine,Y,Alt songs,,,,,
Joan_Come_Kiss_Me_Now_(Glee_Camp_2013-06).mp3,,N,N,Duet - Round,Good,Y,,,,,,
Jock_Stewart.mp3,Y,N,Y,,Good,Y,,,,,,
John_Ball_(Bridges_2023-12).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
John_John_Where_Have_You_Been_All_Night.mp3,,N,N,,Fine,Y,,,,,,
John_Kanaka_(Aunty_Shanty_2025-03).mp3,,N,N,,,Y,"IFASCO 2024"
Johnny_Boy_Go_Home.mp3,,N,Y,,Fine,Y,Bit timid - renamed from Johnny_Boy.mp3,,,,,
Johnny_I_Hardly_Knew_Ya_(Glee_Camp_2016-06).mp3,,N,Y,,,Y,"Simon Emmerson Soundcloud"
Jug_Of_Punch.mp3,,N,Y,,Fine,Y,Rerecord,,,,,
Keep_On_Truckin'_(Horton_Rd_Vol_2).mp3,,N,N,,Fine,Y,Truckin',,,,,
The_Keeper_(Oxford_Glee_2024-04).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Kecak_Dance_(Non_Vocal).mp3,,N,N,,Bin,N,,,,,,
